ï»¿ts,code,carno,msgtype,lat,lon,type,desc,gps,event_lon,event_lat,equipmenttype,message,messageDate,
"1657492022","f77db500","f77db500","v2x","31.27326","121.16396","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 10:44",
"1657515181","7f8dde73","7f8dde73","v2x","31.273615","121.17005","21001","2,16","1","0","0","1","消息时间过早","10-26 10:45",
"1657561795","7f8dde73","7f8dde73","v2x","31.273615","121.170044","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:46",
"1657595021","f77db500","f77db500","v2x","31.274824","121.16147","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:46",
"1657699331","f77db500","f77db500","v2x","31.274445","121.162224","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:48",
"1657718585","2db4d990","2db4d990","v2x","31.259937","121.18864","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:48",
"1657801220","f77db500","f77db500","v2x","31.274448","121.16223","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 10:50",
"1657805393","7f8dde73","7f8dde73","v2x","31.273212","121.165924","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:50",
"1657950088","7f8dde73","7f8dde73","v2x","31.273455","121.16434","21001","2,17","1","0","0","1","消息已过期","10-26 10:52",
"1658034307","6590","6590","v2x","31.27485","121.16119","21001","4,12","2","0","0","1","消息验签失败","10-26 10:53",
"1658105989","3b029293","3b029293","v2x","31.272673","121.17549","21001","2,16","2","0","0","1","消息时间过早","10-26 10:55",
"1658182854","6ef3537e","6ef3537e","v2x","31.273579","121.171326","21001","2,16","2","0","0","1","消息时间过早","10-26 10:56",
"1658195911","60d506d","60d506d","v2x","31.274967","121.1893","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:56",
"1658197526","7f8dde73","7f8dde73","v2x","31.27335","121.16418","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:56",
"1658204255","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:56",
"1658219345","f77db500","f77db500","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 10:57",
"1658277852","6ef3537e","6ef3537e","v2x","31.273579","121.171326","21001","2,16","2","0","0","1","消息时间过早","10-26 10:57",
"1658324870","7f8dde73","7f8dde73","v2x","31.274797","121.16507","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:58",
"1658340509","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:59",
"1658363790","6ef3537e","6ef3537e","v2x","31.273579","121.171326","21001","2,16","2","0","0","1","消息时间过早","10-26 10:59",
"1658435813","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:00",
"1658462420","f77db500","f77db500","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 11:01",
"1658463447","6ef3537e","6ef3537e","v2x","31.27292","121.16658","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:01",
"1658514675","6ef3537e","6ef3537e","v2x","31.273222","121.16557","21001","4,12","2","0","0","1","消息验签失败","10-26 11:01",
"1658548631","f77db500","f77db500","v2x","31.274452","121.16223","21001","2,17","2","0","0","1","消息已过期","10-26 11:02",
"1658561475","6ef3537e","6ef3537e","v2x","31.273172","121.164276","21001","2,17","2","0","0","1","消息已过期","10-26 11:02",
"1658613141","6ef3537e","6ef3537e","v2x","31.273483","121.16211","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:03",
"1658641011","7f8dde73","7f8dde73","v2x","31.28057","121.16946","21001","4,12","1","0","0","1","消息验签失败","10-26 11:04",
"1658649521","f77db500","f77db500","v2x","31.274822","121.161476","21001","4,12","2","0","0","1","消息验签失败","10-26 11:04",
"1658658145","6590","6590","v2x","31.27485","121.16119","21001","4,12","2","0","0","1","消息验签失败","10-26 11:04",
"1658698064","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:05",
"1658760912","f77db500","f77db500","v2x","31.274822","121.161476","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:06",
"1658780828","7f8dde73","7f8dde73","v2x","31.28057","121.16946","21001","3,29","1","0","0","1","必选数据未填充","10-26 11:06",
"1658816780","f77db500","f77db500","v2x","31.274452","121.16223","21001","2,17","2","0","0","1","消息已过期","10-26 11:06",
"1658840992","7f8dde73","7f8dde73","v2x","31.28057","121.16946","21001","3,29","1","0","0","1","必选数据未填充","10-26 11:07",
"1658854898","7f8dde73","7f8dde73","v2x","31.28057","121.16946","21001","2,23","1","0","0","1","AID与网络层不匹配","10-26 11:07",
"1658873314","4a9ccfe9","4a9ccfe9","v2x","31.264189","121.176895","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:07",
"1658944112","f77db500","f77db500","v2x","31.274899","121.16083","21001","4,12","2","0","0","1","消息验签失败","10-26 11:09",
"1659001313","4a9ccfe9","4a9ccfe9","v2x","31.272516","121.17569","21001","2,16","2","0","0","1","消息时间过早","10-26 11:10",
"1659004310","59fdc0e5","59fdc0e5","v2x","31.272772","121.17529","21001","2,16","2","0","0","1","消息时间过早","10-26 11:10",
"1659011819","59fdc0e5","59fdc0e5","v2x","31.273169","121.1741","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:10",
"1659093630","7f8dde73","7f8dde73","v2x","31.28057","121.16946","21001","4,12","1","0","0","1","消息验签失败","10-26 11:11",
"1659098136","f77db500","f77db500","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 11:11",
"1659110727","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:11",
"1659187828","106590","106590","v2x","31.274395","121.16215","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:13",
"1659204451","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:13",
"1659238313","59fdc0e5","59fdc0e5","v2x","31.274096","121.16198","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:14",
"1659306318","59fdc0e5","59fdc0e5","v2x","31.274399","121.16239","21001","4,12","2","0","0","1","消息验签失败","10-26 11:15",
"1659306471","f77db500","f77db500","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 11:15",
"1659419817","59fdc0e5","59fdc0e5","v2x","31.274403","121.16239","21001","4,12","2","0","0","1","消息验签失败","10-26 11:17",
"1659420312","f77db500","f77db500","v2x","31.274815","121.161545","21001","4,12","2","0","0","1","消息验签失败","10-26 11:17",
"1659420652","7f8dde73","7f8dde73","v2x","31.27435","121.18688","21001","3,33","1","0","0","1","证书链错误","10-26 11:17",
"1659436158","f77db500","f77db500","v2x","31.273474","121.16208","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:17",
"1659463626","106590","106590","v2x","31.274797","121.161446","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:17",
"1659468416","59fdc0e5","59fdc0e5","v2x","31.274406","121.16239","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:17",
"1659469016","f77db500","f77db500","v2x","31.274818","121.16153","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 11:17",
"1659483929","106590","106590","v2x","31.274765","121.16201","21001","4,12","2","0","0","1","消息验签失败","10-26 11:18",
"1659540505","f77db500","f77db500","v2x","31.273432","121.164986","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:19",
"1659557314","59fdc0e5","59fdc0e5","v2x","31.274406","121.16239","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:19",
"1659601407","f77db500","f77db500","v2x","31.274818","121.16153","21001","4,12","2","0","0","1","消息验签失败","10-26 11:20",
"1659601016","59fdc0e5","59fdc0e5","v2x","31.274406","121.16239","21001","4,12","2","0","0","1","消息验签失败","10-26 11:20",
"1659617506","f77db500","f77db500","v2x","31.280102","121.16509","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:20",
"1659702229","106590","106590","v2x","31.276552","121.16522","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:21",
"1659821217","59fdc0e5","59fdc0e5","v2x","31.274406","121.16239","21001","4,12","2","0","0","1","消息验签失败","10-26 11:23",
"1659821719","f77db500","f77db500","v2x","31.274817","121.16155","21001","4,12","2","0","0","1","消息验签失败","10-26 11:23",
"1659908219","f77db500","f77db500","v2x","31.274382","121.18686","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:25",
"1660001141","58cc394","58cc394","v2x","31.274517","121.18614","21001","3,33","2","0","0","1","证书链错误","10-26 11:26",
"1660013681","f77db500","f77db500","v2x","31.275063","121.18929","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:26",
"1660098014","59fdc0e5","59fdc0e5","v2x","31.280458","121.167595","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:28",
"1660195829","1ecbd149","1ecbd149","v2x","31.272652","121.17554","21001","2,16","1","0","0","1","消息时间过早","10-26 11:29",
"1660215684","1ecbd149","1ecbd149","v2x","31.272757","121.17538","21001","2,9","1","0","0","1","安全层报文解码失败","10-26 11:30",
"1660253783","73bf57cc","73bf57cc","v2x","31.273296","121.17336","21001","2,16","1","0","0","1","消息时间过早","10-26 11:30",
"1660254585","73bf57cc","73bf57cc","v2x","31.273302","121.17331","21001","2,9","1","0","0","1","安全层报文解码失败","10-26 11:30",
"1660255185","73bf57cc","73bf57cc","v2x","31.273308","121.17327","21001","3,29","1","0","0","1","必选数据未填充","10-26 11:30",
"1660293041","73bf57cc","73bf57cc","v2x","31.273592","121.17099","21001","2,17","1","0","0","1","消息已过期","10-26 11:31",
"1660342809","59fdc0e5","59fdc0e5","v2x","31.274488","121.18863","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:32",
"1660402421","73bf57cc","73bf57cc","v2x","31.273256","121.16561","21001","4,12","1","0","0","1","消息验签失败","10-26 11:33",
"1660408910","59fdc0e5","59fdc0e5","v2x","31.274792","121.1893","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 11:33",
"1660467627","f77db500","f77db500","v2x","31.274874","121.16092","21001","4,12","2","0","0","1","消息验签失败","10-26 11:34",
"1660507400","f77db500","f77db500","v2x","31.264309","121.17685","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:35",
"1660509093","f77db500","f77db500","v2x","31.264372","121.17684","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:35",
"1660515588","73bf57cc","73bf57cc","v2x","31.280495","121.168076","21001","3,29","1","0","0","1","必选数据未填充","10-26 11:35",
"1660557679","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","2,23","1","0","0","1","AID与网络层不匹配","10-26 11:36",
"1660566804","59fdc0e5","59fdc0e5","v2x","31.271297","121.19412","21001","4,12","2","0","0","1","消息验签失败","10-26 11:36",
"1660585110","7a4cd65e","7a4cd65e","v2x","31.272474","121.175705","21001","2,16","2","0","0","1","消息时间过早","10-26 11:36",
"1660589927","4724a9","4724a9","v2x","31.272678","121.17543","21001","2,16","2","0","0","1","消息时间过早","10-26 11:36",
"1660593423","4724a9","4724a9","v2x","31.272823","121.17517","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:36",
"1660613309","6a2007a8","6a2007a8","v2x","31.265781","121.19498","21001","4,12","2","0","0","1","消息验签失败","10-26 11:36",
"1660620578","f77db500","f77db500","v2x","31.272535","121.17564","21001","2,16","2","0","0","1","消息时间过早","10-26 11:37",
"1660667305","f77db500","f77db500","v2x","31.274845","121.161255","21001","4,12","2","0","0","1","消息验签失败","10-26 11:37",
"1660688823","f77db500","f77db500","v2x","31.271843","121.16843","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:38",
"1660742276","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","4,12","1","0","0","1","消息验签失败","10-26 11:39",
"1660743409","6a2007a8","6a2007a8","v2x","31.260887","121.18813","21001","4,12","2","0","0","1","消息验签失败","10-26 11:39",
"1660749152","4724a9","4724a9","v2x","31.27323","121.16546","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:39",
"1660753416","f77db500","f77db500","v2x","31.274845","121.161255","21001","2,17","2","0","0","1","消息已过期","10-26 11:39",
"1660756574","f77db500","f77db500","v2x","31.273178","121.164375","21001","4,12","2","0","0","1","消息验签失败","10-26 11:39",
"1660756944","4724a9","4724a9","v2x","31.273214","121.16508","21001","4,12","2","0","0","1","消息验签失败","10-26 11:39",
"1660783245","4724a9","4724a9","v2x","31.273182","121.16405","21001","2,17","2","0","0","1","消息已过期","10-26 11:39",
"1660805091","f77db500","f77db500","v2x","31.273273","121.16271","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:40",
"1660832491","4724a9","4724a9","v2x","31.273891","121.16198","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:40",
"1660843506","6a2007a8","6a2007a8","v2x","31.257618","121.18118","21001","4,12","2","0","0","1","消息验签失败","10-26 11:40",
"1660893167","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","3,29","1","0","0","1","必选数据未填充","10-26 11:41",
"1660898400","f77db500","f77db500","v2x","31.274416","121.16219","21001","2,17","2","0","0","1","消息已过期","10-26 11:41",
"1660921405","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","2,9","1","0","0","1","安全层报文解码失败","10-26 11:42",
"1660921703","6a2007a8","6a2007a8","v2x","31.262133","121.17798","21001","4,12","2","0","0","1","消息验签失败","10-26 11:42",
"1661011811","f77db500","f77db500","v2x","31.274845","121.161255","21001","4,12","2","0","0","1","消息验签失败","10-26 11:43",
"1661029323","f77db500","f77db500","v2x","31.274416","121.16219","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:43",
"1661081306","6a2007a8","6a2007a8","v2x","31.272684","121.17542","21001","2,16","2","0","0","1","消息时间过早","10-26 11:44",
"1661082305","19bf56fa","19bf56fa","v2x","31.272753","121.17531","21001","2,16","2","0","0","1","消息时间过早","10-26 11:44",
"1661082806","19bf56fa","19bf56fa","v2x","31.272783","121.17525","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 11:44",
"1661133912","19bf56fa","19bf56fa","v2x","31.273338","121.16952","21001","4,12","2","0","0","1","消息验签失败","10-26 11:45",
"1661200701","19bf56fa","19bf56fa","v2x","31.273222","121.16568","21001","3,29","2","0","0","1","必选数据未填充","10-26 11:46",
"1661228908","19bf56fa","19bf56fa","v2x","31.273212","121.165054","21001","4,12","2","0","0","1","消息验签失败","10-26 11:47",
"1661269805","f77db500","f77db500","v2x","31.274845","121.161255","21001","4,12","2","0","0","1","消息验签失败","10-26 11:47",
"1661271211","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","4,12","1","0","0","1","消息验签失败","10-26 11:47",
"1661281007","f77db500","f77db500","v2x","31.274416","121.16219","21001","2,17","2","0","0","1","消息已过期","10-26 11:48",
"1661337273","73bf57cc","73bf57cc","v2x","31.280573","121.169624","21001","2,23","1","0","0","1","AID与网络层不匹配","10-26 11:48",
